S2 S1 S0 C_in A B G C_out

#A transfer (1)
0 0 0 0 0 1 0 0
0 0 0 0 1 1 1 0
0 0 0 0 1 0 1 0
#A increment
0 0 0 1 0 0 1 0
0 0 0 1 1 0 0 1
0 0 0 1 0 1 1 0
#A+B
0 0 1 0 0 0 0 0 
0 0 1 0 1 0 1 0
0 0 1 0 0 1 1 0
0 0 1 0 1 1 0 1
#A+B+1
0 0 1 1 0 0 1 0 
0 0 1 1 1 0 0 1
0 0 1 1 0 1 0 1
0 0 1 1 1 1 1 1
#A+-B
0 1 0 0 0 0 1 0
0 1 0 0 1 0 0 1
0 1 0 0 0 1 0 0
0 1 0 0 1 1 1 0
#subtract (A+-B+1)
0 1 0 1 0 0 0 1
0 1 0 1 1 0 1 1
0 1 0 1 0 1 1 0
0 1 0 1 1 1 0 1
#decrement (A-1)
0 1 1 0 0 0 1 0
0 1 1 0 1 0 0 1
0 1 1 0 1 1 0 1
#A transfer (2)
0 1 1 1 0 1 0 0
0 1 1 1 1 1 1 0
0 1 1 1 1 0 1 0
